Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778031666,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778031667,3,,Aggregated,0.000000,0.000000,87,95,95,100,210,210,220,220,220,220,220,29,0,87,102.00817368965137,77.07228499998564,221.2148010000874,303387.0
1778031668,6,,Aggregated,0.000000,0.000000,100,110,110,120,130,130,210,220,220,220,220,82,0,100.0,105.21763375611111,77.07228499998564,221.2148010000874,303387.0
1778031669,9,,Aggregated,15.000000,0.000000,120,130,140,150,170,290,320,330,340,340,340,138,0,120.0,129.68830618116127,77.07228499998564,336.1999730000207,303387.0
1778031670,12,,Aggregated,31.500000,0.000000,140,160,160,170,190,210,310,320,340,340,340,205,0,140.0,141.6840895463437,77.07228499998564,336.1999730000207,303387.0
1778031671,15,,Aggregated,40.000000,0.000000,160,180,200,200,220,230,300,320,340,340,340,274,0,160.0,158.19898081022043,77.07228499998564,336.1999730000207,303387.0
1778031672,18,,Aggregated,43.500000,0.000000,170,200,210,220,240,260,290,320,340,340,340,336,0,170.0,171.8272157738143,77.07228499998564,336.1999730000207,303387.0
1778031673,21,,Aggregated,49.000000,0.000000,190,220,230,240,280,340,490,550,600,600,600,411,0,190.0,197.71752591484318,77.07228499998564,603.8062329998866,303387.0
1778031674,24,,Aggregated,53.000000,0.000000,210,240,260,280,310,350,480,550,600,600,600,490,0,210.0,213.97773365102148,77.07228499998564,603.8062329998866,303387.0
1778031675,27,,Aggregated,54.000000,0.000000,220,260,290,300,340,360,470,520,600,600,600,556,0,220.0,227.52259995143973,77.07228499998564,603.8062329998866,303387.0
1778031676,30,,Aggregated,56.500000,0.000000,230,280,310,330,370,510,710,750,800,800,800,625,0,230.0,255.32893130400083,77.07228499998564,804.8738570000751,303387.0
1778031677,33,,Aggregated,58.777778,0.000000,260,310,340,360,420,490,700,740,800,800,800,710,0,260.0,271.7632880859164,77.07228499998564,804.8738570000751,303387.0
1778031678,36,,Aggregated,58.600000,0.000000,270,330,360,390,460,530,690,740,800,800,800,784,0,270.0,287.79327067729895,77.07228499998564,804.8738570000751,303387.0
1778031679,39,,Aggregated,65.000000,0.000000,290,350,390,420,510,680,800,900,1100,1100,1100,847,0,290.0,313.43877539551687,77.07228499998564,1080.3152959999807,303387.0
1778031680,42,,Aggregated,68.500000,0.000000,310,370,420,450,540,670,790,870,1100,1100,1100,933,0,310.0,329.3339010782441,77.07228499998564,1080.3152959999807,303387.0
1778031681,45,,Aggregated,67.500000,0.000000,320,400,450,480,560,670,790,870,1000,1100,1100,1005,0,320.0,343.146031489554,77.07228499998564,1080.3152959999807,303387.0
