Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778033468,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778033469,3,,Aggregated,0.000000,0.000000,110,120,170,180,290,320,320,320,320,320,320,20,0,100.0,135.23763094995047,85.91156500006036,321.1847940001462,405903.0
1778033470,6,,Aggregated,0.000000,0.000000,110,120,130,130,140,180,290,320,320,320,320,70,0,110.0,122.90968852856038,85.91156500006036,321.1847940001462,405903.0
1778033470,9,,Aggregated,0.000000,0.000000,130,150,160,170,170,190,240,290,320,320,320,122,0,130.0,138.99955563932903,85.91156500006036,321.1847940001462,405903.0
1778033471,12,,Aggregated,11.000000,0.000000,160,170,170,180,190,260,420,460,550,550,550,181,0,160.0,159.13763653590337,85.91156500006036,552.593626000089,405903.0
1778033472,15,,Aggregated,24.000000,0.000000,170,180,200,210,250,390,450,490,550,550,550,236,0,170.0,182.09275183475089,85.91156500006036,552.593626000089,405903.0
1778033473,18,,Aggregated,49.333333,0.000000,180,220,240,250,280,320,430,460,550,550,550,304,0,180.0,198.44759619408129,85.91156500006036,552.593626000089,405903.0
1778033474,21,,Aggregated,50.250000,0.000000,200,250,260,270,300,340,430,460,550,550,550,365,0,200.0,212.20258238356897,85.91156500006036,552.593626000089,405903.0
1778033475,24,,Aggregated,52.200000,0.000000,230,260,280,290,340,400,530,610,770,770,770,426,0,230.0,232.38055975587218,85.91156500006036,774.9471009997251,405903.0
1778033476,27,,Aggregated,54.000000,0.000000,250,280,310,340,410,480,660,740,810,810,810,498,0,250.0,260.3025094417752,85.91156500006036,806.2100170000122,405903.0
1778033477,30,,Aggregated,55.714286,0.000000,260,310,350,370,440,490,630,720,810,810,810,567,0,260.0,277.10410400706235,85.91156500006036,806.2100170000122,405903.0
1778033478,33,,Aggregated,56.375000,0.000000,270,330,360,390,460,550,740,810,960,960,960,628,0,270.0,294.3356869044609,85.91156500006036,964.0821109996978,405903.0
1778033479,36,,Aggregated,57.666667,0.000000,290,360,400,430,530,670,830,930,1100,1100,1100,706,0,290.0,322.98898165723017,85.91156500006036,1073.2081070000277,405903.0
1778033480,39,,Aggregated,58.500000,0.000000,310,380,430,460,550,670,830,930,1100,1100,1100,776,0,310.0,339.25384250000513,85.91156500006036,1073.2081070000277,405903.0
1778033481,42,,Aggregated,63.400000,0.000000,330,400,450,480,590,740,910,1000,1200,1200,1200,837,0,330.0,357.42799551494056,85.91156500006036,1207.5799200001711,405903.0
1778033482,45,,Aggregated,66.700000,0.000000,340,420,470,520,670,840,1000,1100,1200,1200,1200,906,0,340.0,382.2308583565167,85.91156500006036,1207.5799200001711,405903.0
1778033483,48,,Aggregated,63.500000,0.000000,360,450,510,560,700,840,1000,1100,1200,1200,1200,980,0,360.0,400.86805446020537,85.91156500006036,1207.5799200001711,405903.0
1778033484,51,,Aggregated,64.600000,0.000000,380,470,550,590,730,860,1000,1100,1200,1200,1200,1039,0,380.0,418.85022384793433,85.91156500006036,1231.8626060000497,405903.0
1778033485,54,,Aggregated,66.800000,0.000000,400,510,590,650,790,920,1100,1200,1200,1300,1300,1121,0,400.0,443.3901051534358,85.91156500006036,1274.114173000271,405903.0
1778033486,57,,Aggregated,66.400000,0.000000,410,540,620,680,800,910,1100,1200,1200,1300,1300,1188,0,410.0,459.51409752778073,85.91156500006036,1274.114173000271,405903.0
1778033487,60,,Aggregated,66.100000,0.000000,440,570,660,710,830,950,1100,1200,1500,1600,1600,1259,0,440.0,482.16421441223423,85.91156500006036,1600.2557679998972,405903.0
1778033488,63,,Aggregated,67.800000,0.000000,450,600,690,740,870,1000,1200,1200,1500,1600,1600,1328,0,450.0,503.8808427372013,85.91156500006036,1600.2557679998972,405903.0
1778033489,66,,Aggregated,68.300000,0.000000,480,630,720,770,900,1000,1200,1200,1500,1600,1600,1405,0,480.0,522.2812325245584,85.91156500006036,1600.2557679998972,405903.0
1778033490,69,,Aggregated,67.500000,0.000000,510,670,750,800,940,1100,1200,1400,1700,1700,1700,1478,0,500.0,543.7789437401917,85.91156500006036,1720.2769519999492,405903.0
1778033491,72,,Aggregated,69.300000,0.000000,530,690,780,820,970,1100,1300,1400,1700,1700,1700,1540,0,530.0,562.8302291448076,85.91156500006036,1720.2769519999492,405903.0
1778033492,75,,Aggregated,69.400000,0.000000,550,720,800,840,1000,1200,1300,1500,1800,1900,1900,1617,0,550.0,583.7138686697625,85.91156500006036,1943.2969130002675,405903.0
