scenario,language,cache,users,requests,failures,failure_rate_percent,median_response_ms,average_response_ms,min_response_ms,max_response_ms,p95_response_ms,p99_response_ms,rps,failures_s
python_cache,python,com_cache,100,45343,0,0.0,91.0,249.01586477736265,13.003300000491436,1834.6080000001168,910,1300,380.7923463220338,0.0
python_cache,python,com_cache,250,44308,0,0.0,91.0,593.2688751196146,14.574899999388435,4174.871000000167,2900,3400,369.6310721325005,0.0
python_cache,python,com_cache,500,44154,0,0.0,92.0,1038.6234592652954,13.91890000013518,6902.6137000000745,5500,6400,369.41935572618286,0.0
python_nocache,python,sem_cache,100,1299,0,0.0,6000.0,8163.13959245574,701.0830999997779,39378.61860000066,23000,31000,10.942493266885206,0.0
python_nocache,python,sem_cache,250,974,0,0.0,23000.0,26053.71097464067,394.7275000000445,76131.38799999979,51000,61000,8.129980580217246,0.0
python_nocache,python,sem_cache,500,634,0,0.0,41000.0,40884.21415205045,6383.284900000035,85242.4873,73000,82000,5.350974721743055,0.0
ruby_cache,ruby,com_cache,100,80774,0,0.0,140.0,138.0747627726723,2.53439999960392,19910.35180000017,250,370,679.3000639812738,0.0
ruby_cache,ruby,com_cache,250,94176,0,0.0,120.0,121.42075884514064,1.7722000002322602,1200.6550999994945,330,470,785.7960329447388,0.0
ruby_cache,ruby,com_cache,500,93283,0,0.0,120.0,122.60303988722455,1.8645999998625484,1153.614800000469,340,480,778.0312364369053,0.0
ruby_nocache,ruby,sem_cache,100,2517,0,0.0,4300.0,4432.805122725457,299.3393999995533,20503.11210000018,6700,12000,21.187346075062507,0.0
ruby_nocache,ruby,sem_cache,250,2376,7,0.2946127946127946,11000.0,10529.297356860308,1.725099999930535,51597.80850000061,16000,19000,19.986931254015857,0.0588840567247941
ruby_nocache,ruby,sem_cache,500,2195,189,8.610478359908884,23000.0,19118.267702004563,1.043299999764713,49648.92039999995,30000,31000,18.32511245171307,1.5778798420837223
