Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778246140,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778246141,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778246142,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778246143,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778246144,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778246145,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778246146,70,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778246147,80,,Aggregated,0.000000,0.000000,6700,6700,7000,7000,7000,7000,7000,7000,7000,7000,7000,4,0,6700,6689.821299999949,6383.284900000035,6964.514299999792,105479.0
1778246148,90,,Aggregated,0.000000,0.000000,7000,7200,7500,7500,7500,7500,7500,7500,7500,7500,7500,7,0,7000,6982.260557142841,6383.284900000035,7478.037900000345,105479.0
1778246149,100,,Aggregated,0.142857,0.000000,7500,7500,7700,7700,7900,8500,8500,8500,8500,8500,8500,15,0,7500,7338.779686666628,6383.284900000035,8504.744899999423,105479.0
1778246150,110,,Aggregated,0.875000,0.000000,7500,7600,7700,7900,8500,9100,9100,9100,9100,9100,9100,20,0,7500,7410.446379999985,6383.284900000035,9086.395900000753,105479.0
1778246151,120,,Aggregated,1.333333,0.000000,7600,7900,7900,8500,9100,9300,11000,11000,11000,11000,11000,25,0,7600,7732.441508000047,6383.284900000035,11007.803100000274,105479.0
1778246152,130,,Aggregated,1.900000,0.000000,7700,8200,8500,8700,9300,11000,11000,11000,11000,11000,11000,31,0,7700,7965.717722580643,6383.284900000035,11007.803100000274,105479.0
1778246153,140,,Aggregated,1.900000,0.000000,7900,8200,8700,9100,10000,11000,12000,12000,12000,12000,12000,34,0,7700,8124.44690588237,6383.284900000035,11636.358900000232,105479.0
1778246154,150,,Aggregated,3.000000,0.000000,8200,9300,9800,10000,11000,12000,12000,12000,12000,12000,12000,43,0,8200,8642.965306976717,6383.284900000035,11916.06419999971,105479.0
1778246155,160,,Aggregated,3.400000,0.000000,8700,9700,10000,10000,11000,12000,12000,13000,13000,13000,13000,51,0,8700,8930.496133333298,6383.284900000035,12794.302500000413,105479.0
1778246156,170,,Aggregated,3.900000,0.000000,9500,10000,11000,11000,11000,12000,12000,13000,13000,13000,13000,58,0,9300,9164.50770517238,6383.284900000035,12794.302500000413,105479.0
1778246157,180,,Aggregated,4.700000,0.000000,9700,10000,11000,11000,11000,12000,12000,13000,13000,13000,13000,64,0,9500,9303.994779687471,6383.284900000035,12794.302500000413,105479.0
1778246158,190,,Aggregated,5.700000,0.000000,9800,11000,11000,11000,12000,12000,13000,13000,13000,13000,13000,69,0,9800,9494.229926086928,6383.284900000035,12952.185399999507,105479.0
1778246159,200,,Aggregated,6.000000,0.000000,10000,11000,11000,11000,12000,12000,13000,13000,13000,13000,13000,78,0,10000,9750.752937179454,6383.284900000035,13217.041800000516,105479.0
1778246160,210,,Aggregated,5.800000,0.000000,10000,11000,11000,12000,12000,12000,13000,13000,13000,13000,13000,83,0,10000,9877.080721686705,6383.284900000035,13217.041800000516,105479.0
1778246161,220,,Aggregated,6.300000,0.000000,11000,11000,12000,12000,12000,13000,13000,13000,13000,13000,13000,91,0,11000,10097.239894505456,6383.284900000035,13217.041800000516,105479.0
1778246162,230,,Aggregated,6.300000,0.000000,11000,11000,12000,12000,12000,13000,13000,13000,13000,13000,13000,96,0,11000,10221.9864989583,6383.284900000035,13217.041800000516,105479.0
1778246163,240,,Aggregated,6.700000,0.000000,11000,11000,12000,12000,13000,13000,14000,14000,14000,14000,14000,98,0,11000,10295.740087755059,6383.284900000035,13904.748999999356,105479.0
1778246164,250,,Aggregated,6.600000,0.000000,11000,12000,12000,12000,13000,14000,14000,14000,14000,14000,14000,108,0,11000,10603.804947222203,6383.284900000035,14250.876199999766,105479.0
1778246165,260,,Aggregated,6.600000,0.000000,11000,12000,12000,13000,13000,14000,14000,14000,15000,15000,15000,110,0,11000,10674.23568727271,6383.284900000035,14579.567300000235,105479.0
1778246166,270,,Aggregated,6.500000,0.000000,11000,12000,13000,13000,14000,15000,15000,15000,15000,15000,15000,120,0,11000,10993.144645833303,6383.284900000035,14866.990600000463,105479.0
1778246167,280,,Aggregated,6.300000,0.000000,11000,12000,13000,13000,14000,15000,15000,15000,15000,15000,15000,123,0,11000,11080.392712195093,6383.284900000035,14866.990600000463,105479.0
1778246168,290,,Aggregated,5.800000,0.000000,11000,12000,13000,14000,15000,15000,16000,16000,16000,16000,16000,128,0,11000,11255.311405468721,6383.284900000035,15758.227700000134,105479.0
1778246169,300,,Aggregated,6.100000,0.000000,12000,13000,14000,14000,15000,16000,16000,16000,16000,16000,16000,134,0,12000,11458.83032835819,6383.284900000035,16350.756400000137,105479.0
1778246170,310,,Aggregated,6.100000,0.000000,12000,13000,14000,14000,15000,16000,17000,17000,17000,17000,17000,139,0,12000,11647.759584892061,6383.284900000035,17050.6962999998,105479.0
1778246171,320,,Aggregated,5.600000,0.000000,12000,13000,14000,15000,16000,16000,17000,17000,18000,18000,18000,144,0,12000,11832.904655555534,6383.284900000035,18268.16510000026,105479.0
1778246172,330,,Aggregated,5.400000,0.000000,12000,13000,14000,15000,16000,17000,17000,18000,18000,18000,18000,148,0,12000,11983.01727027025,6383.284900000035,18268.16510000026,105479.0
1778246173,340,,Aggregated,5.300000,0.000000,12000,14000,15000,15000,17000,17000,18000,18000,19000,19000,19000,153,0,12000,12172.807071241807,6383.284900000035,18875.3829999996,105479.0
1778246174,350,,Aggregated,5.100000,0.000000,12000,14000,15000,15000,17000,18000,18000,19000,19000,19000,19000,158,0,12000,12371.03694873416,6383.284900000035,18903.116899999986,105479.0
1778246175,360,,Aggregated,5.400000,0.000000,12000,14000,15000,16000,17000,18000,19000,20000,28000,28000,28000,164,0,12000,12672.823856097546,6383.284900000035,27800.6648999999,105126.71341463414
1778246176,370,,Aggregated,5.200000,0.000000,12000,14000,15000,16000,18000,19000,20000,20000,28000,28000,28000,168,0,12000,12839.293352380939,6383.284900000035,27800.6648999999,105135.10119047618
1778246177,380,,Aggregated,5.200000,0.000000,12000,15000,16000,17000,18000,20000,21000,30000,30000,30000,30000,174,0,12000,13206.929051149415,6383.284900000035,30140.817499999685,104482.87931034483
1778246178,390,,Aggregated,5.100000,0.000000,13000,15000,16000,17000,19000,20000,30000,30000,30000,30000,30000,178,0,13000,13481.851791011222,6383.284900000035,30305.9659999999,103856.10674157304
1778246179,400,,Aggregated,5.100000,0.000000,13000,15000,17000,18000,20000,22000,30000,30000,31000,31000,31000,185,0,13000,13839.897844324301,6383.284900000035,31069.252700000106,103605.21621621621
