Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/https://br.ign.com,278,1,11000,9897.332641366913,127.37800000013522,21494.400900000073,46692.74100719424,2.3385382527846836,0.008412008103542028,11000,12000,13000,13000,15000,16000,16000,17000,21000,21000,21000
GET,/api/https://canaltech.com.br,138,0,10000,10896.487006521778,3558.4631000001536,21451.86040000044,21940.0,1.1608571182888,0.0,11000,11000,12000,12000,13000,15000,17000,17000,21000,21000,21000
GET,/api/https://cnn.com,297,1,11000,10566.49956060613,9.942900000169175,28368.252799999937,53874.9898989899,2.498366406751982,0.008412008103542028,11000,13000,14000,15000,18000,20000,23000,25000,28000,28000,28000
GET,/api/https://kotaku.com,98,0,11000,11787.090396938833,6714.580100000603,19115.234199999577,22267.0,0.8243767941471187,0.0,11000,12000,13000,14000,15000,16000,17000,19000,19000,19000,19000
GET,/api/https://receitas.globo.com,258,0,11000,11270.107547286862,1476.4180000001943,19505.94009999986,22256.0,2.1702980907138434,0.0,11000,12000,13000,13000,14000,15000,16000,17000,20000,20000,20000
GET,/api/https://www.estadao.com.br,266,1,11000,10135.974769924856,560.5127999997421,29263.410799999292,50025.545112781954,2.2375941555421797,0.008412008103542028,11000,11000,12000,13000,15000,16000,17000,17000,29000,29000,29000
GET,/api/https://www.foxnews.com,309,0,8600,7640.662880258878,153.32740000030753,26390.215800000078,105529.0,2.5993105039944866,0.0,8600,11000,12000,12000,13000,15000,16000,17000,26000,26000,26000
GET,/api/https://www.todamateria.com.br,220,1,11000,11684.076736818168,16.071399999418645,21121.690500000113,29724.272727272728,1.850641782779246,0.008412008103542028,11000,12000,13000,13000,15000,16000,17000,18000,21000,21000,21000
GET,/api/https://www.tudogostoso.com.br,250,2,11000,10801.151514800013,1.725099999930535,19157.457399999657,28248.192,2.103002025885507,0.016824016207084055,11000,12000,13000,13000,14000,15000,16000,17000,19000,19000,19000
GET,/api/https://www12.senado.leg.br,262,1,13000,12341.393066793893,1150.4306000006181,51597.80850000061,24628.637404580153,2.2039461231280115,0.008412008103542028,13000,14000,15000,15000,16000,17000,18000,19000,52000,52000,52000
,Aggregated,2376,7,11000,10529.297356860308,1.725099999930535,51597.80850000061,44571.85816498317,19.986931254015857,0.058884056724794194,11000,12000,13000,13000,15000,16000,18000,19000,28000,52000,52000
