Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780246113,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780246114,10,gRPC,gRPC/listar-musicas,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,573,0,3,3.512086102977102,1.3752759996350505,13.319268000032025,24374.0
1780246114,10,gRPC,gRPC/listar-musicas-playlist,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,571,0,3,2.815744684755648,0.971127999946475,9.54736999983652,140.0
1780246114,10,gRPC,gRPC/listar-playlists-musica,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,568,0,3,2.8769676531774615,1.0736840004028636,8.963116999893828,268.0
1780246114,10,gRPC,gRPC/listar-playlists-usuario,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,571,0,2,2.6941258336260696,1.060616999893682,8.74848600005862,388.0
1780246114,10,gRPC,gRPC/listar-usuarios,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,576,0,3,3.246735781240141,1.1436270001468074,15.950761000112834,15097.0
1780246114,10,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2859,0,3,3.0300100874434976,0.971127999946475,15.950761000112834,8085.304651976216
1780246116,20,gRPC,gRPC/listar-musicas,0.000000,0.000000,5,6,7,7,8,9,11,12,14,14,14,1334,0,4,4.6260413935596985,1.3752759996350505,13.665682999999262,24374.0
1780246116,20,gRPC,gRPC/listar-musicas-playlist,0.000000,0.000000,4,5,5,5,6,7,8,9,13,13,13,1332,0,3,3.6267271186149515,0.971127999946475,13.48234399983994,140.0
1780246116,20,gRPC,gRPC/listar-playlists-musica,0.000000,0.000000,4,4,5,5,7,7,8,11,13,13,13,1325,0,3,3.6159574181191654,1.0736840004028636,13.49487700008467,268.0
1780246116,20,gRPC,gRPC/listar-playlists-usuario,0.000000,0.000000,4,5,5,6,7,7,9,9,14,14,14,1334,0,3,3.721671138674773,1.060616999893682,13.581726000211347,388.0
1780246116,20,gRPC,gRPC/listar-usuarios,0.000000,0.000000,5,6,6,6,7,8,9,11,14,14,14,1337,0,4,4.223108500378819,1.1436270001468074,15.950761000112834,15097.0
1780246116,20,,Aggregated,0.000000,0.000000,3,4,5,5,7,7,9,11,14,16,16,6662,0,3,3.9633876739733225,0.971127999946475,15.950761000112834,8069.465175622936
1780246117,30,gRPC,gRPC/listar-musicas,286.500000,0.000000,7,8,9,9,10,11,12,12,14,14,14,2215,0,6,6.023102167948707,1.3752759996350505,13.88536100012061,24374.0
1780246117,30,gRPC,gRPC/listar-musicas-playlist,285.500000,0.000000,4,5,5,5,6,8,9,10,13,13,13,2204,0,4,4.136969985931679,0.971127999946475,13.48234399983994,140.0
1780246117,30,gRPC,gRPC/listar-playlists-musica,284.000000,0.000000,4,5,5,5,7,8,10,10,13,13,13,2204,0,4,4.161007376137893,1.0736840004028636,13.49487700008467,268.0
1780246117,30,gRPC,gRPC/listar-playlists-usuario,285.500000,0.000000,5,6,7,7,9,10,11,11,14,14,14,2206,0,4,4.796273383944383,1.060616999893682,13.581726000211347,388.0
1780246117,30,gRPC,gRPC/listar-usuarios,288.000000,0.000000,6,7,8,8,9,10,11,12,14,14,14,2231,0,5,5.3495030851673055,1.1436270001468074,15.950761000112834,15097.0
1780246117,30,,Aggregated,1429.500000,0.000000,4,5,6,7,8,10,11,12,14,15,16,11060,0,4,4.895590766365042,0.971127999946475,15.950761000112834,8085.44095840868
1780246118,40,gRPC,gRPC/listar-musicas,444.666667,0.000000,7,8,9,10,11,12,13,13,21,23,23,3220,0,7,6.791550100621427,1.3752759996350505,23.195819000193296,24374.0
1780246118,40,gRPC,gRPC/listar-musicas-playlist,442.333333,0.000000,5,6,6,6,7,8,11,12,19,21,21,3204,0,5,4.90725775218278,0.971127999946475,21.472113000072568,140.0
1780246118,40,gRPC,gRPC/listar-playlists-musica,440.666667,0.000000,5,6,6,7,8,10,11,12,14,18,18,3201,0,5,5.012635638241804,1.0736840004028636,18.001287000060984,268.0
1780246118,40,gRPC,gRPC/listar-playlists-usuario,444.666667,0.000000,6,7,7,8,10,11,12,14,22,23,23,3207,0,6,5.704113741185457,1.060616999893682,23.258780000105617,388.0
1780246118,40,gRPC,gRPC/listar-usuarios,445.000000,0.000000,6,7,8,9,10,11,12,13,21,23,23,3231,0,6,6.021902230272936,1.1436270001468074,22.910494000370818,15097.0
1780246118,40,,Aggregated,2217.333333,0.000000,6,6,7,7,9,11,12,13,18,23,23,16063,0,6,5.689282868330966,0.971127999946475,23.258780000105617,8081.518458569383
1780246119,50,gRPC,gRPC/listar-musicas,551.750000,0.000000,8,9,10,10,12,13,14,15,23,23,23,4204,0,8,7.498027417220248,1.3752759996350505,23.278619999928196,24374.0
1780246119,50,gRPC,gRPC/listar-musicas-playlist,551.000000,0.000000,6,7,8,8,10,11,13,14,20,21,21,4183,0,6,5.91401907769335,0.971127999946475,21.472113000072568,140.0
1780246119,50,gRPC,gRPC/listar-playlists-musica,550.500000,0.000000,6,7,8,9,10,12,13,14,17,23,23,4170,0,6,6.029547897123652,1.0736840004028636,23.008467000181554,268.0
1780246119,50,gRPC,gRPC/listar-playlists-usuario,551.250000,0.000000,7,8,9,9,11,13,14,15,23,23,23,4195,0,6,6.685407581880359,1.060616999893682,23.281051000139996,388.0
1780246119,50,gRPC,gRPC/listar-usuarios,554.250000,0.000000,7,8,9,10,11,13,14,15,22,23,23,4208,0,7,6.9190006867909055,1.1436270001468074,23.118203000194626,15097.0
1780246119,50,,Aggregated,2759.000000,0.000000,6,8,8,9,11,12,14,14,22,23,23,20960,0,6,6.610863716173439,0.971127999946475,23.281051000139996,8078.593129770992
1780246120,50,gRPC,gRPC/listar-musicas,641.400000,0.000000,8,9,10,11,12,13,14,15,23,24,24,5204,0,8,7.924852912949691,1.3752759996350505,23.999419000119815,24374.0
1780246120,50,gRPC,gRPC/listar-musicas-playlist,640.200000,0.000000,7,8,8,9,10,12,13,14,23,24,24,5185,0,6,6.502584071935141,0.971127999946475,23.50675500019861,140.0
1780246120,50,gRPC,gRPC/listar-playlists-musica,638.200000,0.000000,7,8,9,9,11,12,13,14,18,23,23,5175,0,6,6.622452067439679,1.0736840004028636,23.16991699990467,268.0
1780246120,50,gRPC,gRPC/listar-playlists-usuario,640.800000,0.000000,8,9,9,10,12,13,14,15,23,24,24,5203,0,7,7.277837941186066,1.060616999893682,23.959658999956446,388.0
1780246120,50,gRPC,gRPC/listar-usuarios,643.600000,0.000000,8,9,9,10,12,13,14,15,23,24,24,5208,0,7,7.458078370778919,1.1436270001468074,24.008196000067983,15097.0
1780246120,50,,Aggregated,3204.200000,0.000000,7,8,9,9,11,12,14,15,23,24,24,25975,0,7,7.158278551837599,0.971127999946475,24.008196000067983,8069.260288739172
1780246121,50,gRPC,gRPC/listar-musicas,697.166667,0.000000,8,9,10,11,12,13,15,17,23,24,24,6230,0,8,8.179295631780475,1.3752759996350505,23.999419000119815,24374.0
1780246121,50,gRPC,gRPC/listar-musicas-playlist,693.000000,0.000000,8,8,9,9,10,12,13,15,23,24,24,6206,0,7,6.91246288140208,0.971127999946475,23.50675500019861,140.0
1780246121,50,gRPC,gRPC/listar-playlists-musica,692.333333,0.000000,8,8,9,9,11,12,14,15,21,23,23,6204,0,7,6.998202745163122,1.0736840004028636,23.16991699990467,268.0
1780246121,50,gRPC,gRPC/listar-playlists-usuario,695.000000,0.000000,8,9,10,10,12,13,14,16,23,24,24,6213,0,8,7.619125125219953,1.060616999893682,23.959658999956446,388.0
1780246121,50,gRPC,gRPC/listar-usuarios,699.166667,0.000000,8,9,10,10,12,13,14,15,23,24,24,6239,0,8,7.799012911847297,1.1436270001468074,24.008196000067983,15097.0
1780246121,50,,Aggregated,3476.666667,0.000000,8,9,9,10,11,12,14,15,23,24,24,31092,0,8,7.502517439179572,0.971127999946475,24.008196000067983,8072.248777820661
1780246122,50,gRPC,gRPC/listar-musicas,740.000000,0.000000,8,9,10,10,12,13,15,18,23,24,24,7303,0,8,8.313642200053557,1.3752759996350505,23.999419000119815,24374.0
1780246122,50,gRPC,gRPC/listar-musicas-playlist,736.428571,0.000000,8,8,9,9,10,12,13,14,23,24,24,7277,0,8,7.15211280142638,0.971127999946475,23.50675500019861,140.0
1780246122,50,gRPC,gRPC/listar-playlists-musica,736.285714,0.000000,8,8,9,9,11,12,14,15,20,23,23,7264,0,8,7.22114760063279,1.0736840004028636,23.16991699990467,268.0
1780246122,50,gRPC,gRPC/listar-playlists-usuario,737.428571,0.000000,8,9,10,10,12,13,14,15,23,24,24,7287,0,8,7.822700257855653,1.060616999893682,23.959658999956446,388.0
1780246122,50,gRPC,gRPC/listar-usuarios,741.428571,0.000000,8,9,10,10,12,13,14,15,23,24,24,7306,0,8,7.983674422395009,1.1436270001468074,24.008196000067983,15097.0
1780246122,50,,Aggregated,3691.571429,0.000000,8,9,9,10,11,12,14,15,23,24,24,36437,0,8,7.699525540603717,0.971127999946475,24.008196000067983,8071.325630540385
1780246123,50,gRPC,gRPC/listar-musicas,775.375000,0.000000,9,9,10,10,12,13,14,17,25,26,26,8355,0,8,8.4187011393162,1.3752759996350505,26.010087999566167,24374.0
1780246123,50,gRPC,gRPC/listar-musicas-playlist,772.250000,0.000000,8,8,9,9,10,12,13,14,23,26,26,8333,0,8,7.346513372852447,0.971127999946475,25.96471000015299,140.0
1780246123,50,gRPC,gRPC/listar-playlists-musica,769.875000,0.000000,8,8,9,9,10,12,13,15,21,26,26,8318,0,8,7.396944051935431,1.0736840004028636,25.97571299975243,268.0
1780246123,50,gRPC,gRPC/listar-playlists-usuario,773.125000,0.000000,8,9,10,10,12,13,14,15,25,26,26,8346,0,8,8.00841028073293,1.060616999893682,26.019985000402812,388.0
1780246123,50,gRPC,gRPC/listar-usuarios,775.750000,0.000000,8,9,10,10,12,13,14,16,25,26,26,8358,0,8,8.12973468976138,1.1436270001468074,26.026688999991165,15097.0
