scenario,scenarioLabel,users,technology,workload,requestCount,throughputRps,p95LatencyMs,avgContentSizeKb
carga-leve,Carga leve,50,REST,listar-musicas,48506,405.99,24.0,49.7
carga-leve,Carga leve,50,REST,listar-musicas-playlist,48477,405.75,23.0,29.78
carga-leve,Carga leve,50,REST,listar-playlists,48493,405.88,24.0,38.25
carga-leve,Carga leve,50,REST,listar-playlists-musica,48468,405.67,23.0,28.88
carga-leve,Carga leve,50,REST,listar-playlists-usuario,48485,405.82,24.0,28.88
carga-leve,Carga leve,50,REST,listar-usuarios,48512,406.04,23.0,21.48
carga-leve,Carga leve,50,GraphQL,listar-musicas,20987,176.24,77.0,49.71
carga-leve,Carga leve,50,GraphQL,listar-musicas-playlist,20965,176.05,73.0,29.8
carga-leve,Carga leve,50,GraphQL,listar-playlists,20983,176.2,74.0,38.27
carga-leve,Carga leve,50,GraphQL,listar-playlists-musica,20959,176.0,75.0,28.91
carga-leve,Carga leve,50,GraphQL,listar-playlists-usuario,20974,176.13,74.0,28.9
carga-leve,Carga leve,50,GraphQL,listar-usuarios,20994,176.29,73.0,21.5
carga-leve,Carga leve,50,SOAP,listar-musicas,2102,17.67,500.0,70.02
carga-leve,Carga leve,50,SOAP,listar-musicas-playlist,2080,17.48,500.0,42.11
carga-leve,Carga leve,50,SOAP,listar-playlists,2093,17.59,500.0,71.47
carga-leve,Carga leve,50,SOAP,listar-playlists-musica,2071,17.41,500.0,54.63
carga-leve,Carga leve,50,SOAP,listar-playlists-usuario,2088,17.55,490.0,54.61
carga-leve,Carga leve,50,SOAP,listar-usuarios,2108,17.72,500.0,27.36
carga-leve,Carga leve,50,gRPC,listar-musicas,53920,453.6,23.0,23.8
carga-leve,Carga leve,50,gRPC,listar-musicas-playlist,53895,453.39,23.0,14.24
carga-leve,Carga leve,50,gRPC,listar-playlists,53912,453.53,23.0,21.95
carga-leve,Carga leve,50,gRPC,listar-playlists-musica,53887,453.32,23.0,16.59
carga-leve,Carga leve,50,gRPC,listar-playlists-usuario,53900,453.43,23.0,16.58
carga-leve,Carga leve,50,gRPC,listar-usuarios,53928,453.67,23.0,14.74
carga-media,Carga média,250,REST,listar-musicas,47623,399.89,50.0,49.7
carga-media,Carga média,250,REST,listar-musicas-playlist,47494,398.81,49.0,29.78
carga-media,Carga média,250,REST,listar-playlists,47590,399.62,49.0,38.25
carga-media,Carga média,250,REST,listar-playlists-musica,47450,398.44,49.0,28.88
carga-media,Carga média,250,REST,listar-playlists-usuario,47540,399.2,49.0,28.88
carga-media,Carga média,250,REST,listar-usuarios,47665,400.25,49.0,21.48
carga-media,Carga média,250,GraphQL,listar-musicas,21418,179.56,280.0,49.71
carga-media,Carga média,250,GraphQL,listar-musicas-playlist,21273,178.35,270.0,29.8
carga-media,Carga média,250,GraphQL,listar-playlists,21373,179.18,270.0,38.27
carga-media,Carga média,250,GraphQL,listar-playlists-musica,21231,177.99,270.0,28.91
carga-media,Carga média,250,GraphQL,listar-playlists-usuario,21320,178.74,270.0,28.9
carga-media,Carga média,250,GraphQL,listar-usuarios,21444,179.78,310.0,21.5
carga-media,Carga média,250,SOAP,listar-musicas,2148,18.04,1500.0,70.02
carga-media,Carga média,250,SOAP,listar-musicas-playlist,2067,17.36,1400.0,42.11
carga-media,Carga média,250,SOAP,listar-playlists,2121,17.82,1400.0,71.47
carga-media,Carga média,250,SOAP,listar-playlists-musica,2039,17.13,1400.0,54.63
carga-media,Carga média,250,SOAP,listar-playlists-usuario,2095,17.6,1400.0,54.61
carga-media,Carga média,250,SOAP,listar-usuarios,2174,18.26,8100.0,27.36
carga-media,Carga média,250,gRPC,listar-musicas,53942,453.3,130.0,23.8
carga-media,Carga média,250,gRPC,listar-musicas-playlist,53809,452.18,120.0,14.24
carga-media,Carga média,250,gRPC,listar-playlists,53868,452.68,130.0,21.95
carga-media,Carga média,250,gRPC,listar-playlists-musica,53787,452.0,130.0,16.59
carga-media,Carga média,250,gRPC,listar-playlists-usuario,53849,452.52,130.0,16.58
carga-media,Carga média,250,gRPC,listar-usuarios,53974,453.57,120.0,14.74
carga-alta,Carga alta,500,REST,listar-musicas,45860,385.08,52.0,49.7
carga-alta,Carga alta,500,REST,listar-musicas-playlist,45632,383.16,52.0,29.78
carga-alta,Carga alta,500,REST,listar-playlists,45788,384.47,53.0,38.25
carga-alta,Carga alta,500,REST,listar-playlists-musica,45547,382.45,52.0,28.88
carga-alta,Carga alta,500,REST,listar-playlists-usuario,45717,383.88,52.0,28.88
carga-alta,Carga alta,500,REST,listar-usuarios,45954,385.87,53.0,21.48
carga-alta,Carga alta,500,GraphQL,listar-musicas,21281,177.81,500.0,49.71
carga-alta,Carga alta,500,GraphQL,listar-musicas-playlist,21029,175.7,490.0,29.8
carga-alta,Carga alta,500,GraphQL,listar-playlists,21204,177.17,490.0,38.27
carga-alta,Carga alta,500,GraphQL,listar-playlists-musica,20942,174.98,490.0,28.91
carga-alta,Carga alta,500,GraphQL,listar-playlists-usuario,21120,176.46,490.0,28.9
carga-alta,Carga alta,500,GraphQL,listar-usuarios,21355,178.43,540.0,21.5
carga-alta,Carga alta,500,SOAP,listar-musicas,2121,17.81,1500.0,70.02
carga-alta,Carga alta,500,SOAP,listar-musicas-playlist,2041,17.14,1400.0,42.11
carga-alta,Carga alta,500,SOAP,listar-playlists,2092,17.57,1400.0,71.47
carga-alta,Carga alta,500,SOAP,listar-playlists-musica,2016,16.93,1400.0,54.63
carga-alta,Carga alta,500,SOAP,listar-playlists-usuario,2067,17.36,1400.0,54.61
carga-alta,Carga alta,500,SOAP,listar-usuarios,2147,18.03,8800.0,27.36
carga-alta,Carga alta,500,gRPC,listar-musicas,55488,466.42,210.0,23.8
carga-alta,Carga alta,500,gRPC,listar-musicas-playlist,55242,464.35,210.0,14.24
carga-alta,Carga alta,500,gRPC,listar-playlists,55407,465.74,210.0,21.95
