scenario,scenarioLabel,users,technology,workload,requestCount,throughputRps,p95LatencyMs,avgContentSizeKb
carga-leve,Carga leve,50,REST,listar-musicas,38458,323.12,11.0,49.7
carga-leve,Carga leve,50,REST,listar-musicas-playlist,38434,322.92,52.0,0.29
carga-leve,Carga leve,50,REST,listar-playlists-musica,38416,322.77,52.0,0.5
carga-leve,Carga leve,50,REST,listar-playlists-usuario,38443,323.0,51.0,0.7
carga-leve,Carga leve,50,REST,listar-usuarios,38460,323.14,11.0,21.48
carga-leve,Carga leve,50,GraphQL,listar-musicas,8021,67.27,250.0,49.71
carga-leve,Carga leve,50,GraphQL,listar-musicas-playlist,7995,67.05,230.0,0.32
carga-leve,Carga leve,50,GraphQL,listar-playlists-musica,7988,66.99,240.0,0.53
carga-leve,Carga leve,50,GraphQL,listar-playlists-usuario,8007,67.15,230.0,0.72
carga-leve,Carga leve,50,GraphQL,listar-usuarios,8035,67.39,210.0,21.5
carga-leve,Carga leve,50,SOAP,listar-musicas,6423,53.84,540.0,70.02
carga-leve,Carga leve,50,SOAP,listar-musicas-playlist,6413,53.76,350.0,0.74
carga-leve,Carga leve,50,SOAP,listar-playlists-musica,6411,53.74,330.0,1.23
carga-leve,Carga leve,50,SOAP,listar-playlists-usuario,6418,53.8,340.0,1.57
carga-leve,Carga leve,50,SOAP,listar-usuarios,6440,53.98,360.0,27.36
carga-leve,Carga leve,50,gRPC,listar-musicas,36556,305.65,39.0,23.8
carga-leve,Carga leve,50,gRPC,listar-musicas-playlist,36535,305.48,39.0,0.14
carga-leve,Carga leve,50,gRPC,listar-playlists-musica,36526,305.4,35.0,0.26
carga-leve,Carga leve,50,gRPC,listar-playlists-usuario,36546,305.57,37.0,0.38
carga-leve,Carga leve,50,gRPC,listar-usuarios,36566,305.74,51.0,14.74
carga-media,Carga média,250,REST,listar-musicas,47705,400.45,65.0,49.7
carga-media,Carga média,250,REST,listar-musicas-playlist,47588,399.47,68.0,0.29
carga-media,Carga média,250,REST,listar-playlists-musica,47544,399.1,70.0,0.5
carga-media,Carga média,250,REST,listar-playlists-usuario,47643,399.93,71.0,0.7
carga-media,Carga média,250,REST,listar-usuarios,47756,400.88,64.0,21.48
carga-media,Carga média,250,GraphQL,listar-musicas,8014,67.19,830.0,49.71
carga-media,Carga média,250,GraphQL,listar-musicas-playlist,7928,66.47,880.0,0.32
carga-media,Carga média,250,GraphQL,listar-playlists-musica,7873,66.01,890.0,0.53
carga-media,Carga média,250,GraphQL,listar-playlists-usuario,7974,66.86,850.0,0.72
carga-media,Carga média,250,GraphQL,listar-usuarios,8045,67.45,840.0,21.5
carga-media,Carga média,250,SOAP,listar-musicas,6064,50.92,1900.0,70.02
carga-media,Carga média,250,SOAP,listar-musicas-playlist,5962,50.06,1300.0,0.74
carga-media,Carga média,250,SOAP,listar-playlists-musica,5928,49.78,1300.0,1.23
carga-media,Carga média,250,SOAP,listar-playlists-usuario,5988,50.28,1300.0,1.57
carga-media,Carga média,250,SOAP,listar-usuarios,6119,51.38,2000.0,27.36
carga-media,Carga média,250,gRPC,listar-musicas,37208,311.03,190.0,23.8
carga-media,Carga média,250,gRPC,listar-musicas-playlist,37098,310.11,200.0,0.14
carga-media,Carga média,250,gRPC,listar-playlists-musica,37060,309.79,200.0,0.26
carga-media,Carga média,250,gRPC,listar-playlists-usuario,37156,310.59,200.0,0.38
carga-media,Carga média,250,gRPC,listar-usuarios,37242,311.31,220.0,14.74
carga-alta,Carga alta,500,REST,listar-musicas,48073,403.19,68.0,49.7
carga-alta,Carga alta,500,REST,listar-musicas-playlist,47855,401.36,70.0,0.29
carga-alta,Carga alta,500,REST,listar-playlists-musica,47762,400.58,71.0,0.5
carga-alta,Carga alta,500,REST,listar-playlists-usuario,47955,402.2,73.0,0.7
carga-alta,Carga alta,500,REST,listar-usuarios,48175,404.05,69.0,21.48
carga-alta,Carga alta,500,GraphQL,listar-musicas,7786,65.3,1600.0,49.71
carga-alta,Carga alta,500,GraphQL,listar-musicas-playlist,7601,63.75,1700.0,0.32
carga-alta,Carga alta,500,GraphQL,listar-playlists-musica,7505,62.94,1600.0,0.53
carga-alta,Carga alta,500,GraphQL,listar-playlists-usuario,7688,64.48,1600.0,0.72
carga-alta,Carga alta,500,GraphQL,listar-usuarios,7914,66.37,1600.0,21.5
carga-alta,Carga alta,500,SOAP,listar-musicas,6132,51.43,2200.0,70.02
carga-alta,Carga alta,500,SOAP,listar-musicas-playlist,5940,49.82,2200.0,0.74
carga-alta,Carga alta,500,SOAP,listar-playlists-musica,5842,49.0,2100.0,1.23
carga-alta,Carga alta,500,SOAP,listar-playlists-usuario,6024,50.52,2200.0,1.57
carga-alta,Carga alta,500,SOAP,listar-usuarios,6224,52.2,2200.0,27.36
carga-alta,Carga alta,500,gRPC,listar-musicas,37096,310.02,390.0,23.8
carga-alta,Carga alta,500,gRPC,listar-musicas-playlist,36869,308.12,380.0,0.14
carga-alta,Carga alta,500,gRPC,listar-playlists-musica,36769,307.29,390.0,0.26
carga-alta,Carga alta,500,gRPC,listar-playlists-usuario,36975,309.01,390.0,0.38
carga-alta,Carga alta,500,gRPC,listar-usuarios,37192,310.82,420.0,14.74
